Production_Order,Material,Plant,Quantity,Start_Date,End_Date
1,Aluminum,Asteraceae,687,7/3/2018,3/27/2022
2,Plastic,Asteraceae,841,1/23/2019,1/10/2021
3,Brass,Poaceae,989,2/2/2019,12/22/2022
4,Plastic,Fagaceae,456,2/23/2019,2/9/2022
5,Vinyl,Rosaceae,551,1/15/2019,9/16/2021
6,Brass,Moraceae,325,8/17/2018,5/24/2022
7,Glass,Brachytheciaceae,51,9/26/2018,5/17/2022
8,Brass,Onagraceae,910,9/24/2018,6/3/2020
9,Brass,Porpidiaceae,957,6/28/2018,4/9/2022
10,Rubber,Ranunculaceae,159,10/18/2018,8/26/2021
11,Rubber,Fontinalaceae,712,12/16/2018,6/12/2022
12,Glass,Orchidaceae,717,11/16/2018,1/22/2021
13,Glass,Caryophyllaceae,453,1/10/2019,3/19/2021
14,Steel,Pottiaceae,457,11/15/2018,9/12/2021
15,Wood,Scrophulariaceae,212,11/30/2018,2/14/2022
16,Plexiglass,Trapeliaceae,580,11/11/2018,11/27/2022
17,Vinyl,Opegraphaceae,699,12/5/2018,10/19/2020
18,Aluminum,Hippocastanaceae,33,8/23/2018,4/12/2022
19,Plexiglass,Asteraceae,590,9/4/2018,3/8/2022
20,Granite,Asteraceae,615,2/2/2019,3/15/2022
21,Granite,Fabaceae,392,2/13/2019,2/7/2023
22,Granite,Poaceae,147,11/28/2018,6/16/2020
23,Stone,Orchidaceae,824,1/11/2019,6/4/2022
24,Wood,Limnanthaceae,48,3/11/2019,12/15/2021
25,Glass,Agyriaceae,667,10/21/2018,10/3/2020
26,Granite,Asteraceae,890,6/15/2018,10/27/2020
27,Granite,Asteraceae,758,1/20/2019,12/4/2021
28,Plastic,Parmeliaceae,81,1/6/2019,7/20/2021
29,Granite,Cannaceae,300,7/8/2018,1/11/2022
30,Glass,Polypodiaceae,285,6/1/2018,12/27/2020
31,Granite,Teloschistaceae,797,2/22/2019,8/30/2021
32,Aluminum,Cornaceae,273,9/8/2018,2/5/2021
33,Glass,Polygonaceae,948,9/10/2018,9/12/2020
34,Plexiglass,Loasaceae,170,3/2/2019,7/30/2022
35,Plexiglass,Lecanoraceae,740,10/29/2018,12/4/2020
36,Aluminum,Amblystegiaceae,868,9/3/2018,11/28/2022
37,Vinyl,Asteraceae,685,7/13/2018,1/28/2022
38,Plexiglass,Vitaceae,732,2/5/2019,10/25/2022
39,Plastic,Asclepiadaceae,171,6/8/2018,3/22/2021
40,Rubber,Moraceae,282,6/8/2018,1/14/2022
41,Plastic,Rosaceae,130,7/6/2018,10/5/2021
42,Brass,Asclepiadaceae,175,2/4/2019,8/2/2020
43,Plastic,Polemoniaceae,26,3/20/2019,4/19/2021
44,Plastic,Hippocastanaceae,370,12/14/2018,9/27/2021
45,Plastic,Lamiaceae,495,11/29/2018,3/20/2023
46,Stone,Lamiaceae,163,11/1/2018,3/10/2021
47,Plexiglass,Fabaceae,623,3/21/2019,8/24/2020
48,Stone,Magnoliaceae,573,8/12/2018,8/3/2020
49,Rubber,Aspleniaceae,460,10/29/2018,1/28/2023
50,Stone,Encalyptaceae,792,3/13/2019,2/1/2023
51,Wood,Neckeraceae,404,3/24/2019,1/24/2021
52,Steel,Asteraceae,762,9/26/2018,1/21/2022
53,Vinyl,Bignoniaceae,104,1/5/2019,12/7/2021
54,Plastic,Poaceae,495,10/6/2018,9/22/2021
55,Steel,Scrophulariaceae,397,1/23/2019,2/9/2023
56,Steel,Cyperaceae,295,10/25/2018,10/21/2022
57,Granite,Myrtaceae,968,8/21/2018,2/8/2021
58,Plastic,Polygonaceae,661,9/29/2018,12/18/2021
59,Plexiglass,Onagraceae,309,11/15/2018,10/31/2020
60,Vinyl,Cyperaceae,347,8/17/2018,4/13/2022
61,Plastic,Cucurbitaceae,248,8/5/2018,7/17/2021
62,Plastic,Fabaceae,810,2/14/2019,4/9/2022
63,Brass,Isoetaceae,955,11/19/2018,3/21/2023
64,Vinyl,Amblystegiaceae,374,1/15/2019,9/10/2020
65,Plastic,Liliaceae,428,2/9/2019,5/6/2021
66,Plexiglass,Saxifragaceae,106,2/7/2019,10/11/2020
67,Vinyl,Asteraceae,309,8/2/2018,4/4/2021
68,Plastic,Asteraceae,834,1/22/2019,7/24/2020
69,Plastic,Portulacaceae,915,8/21/2018,9/23/2022
70,Granite,Rosaceae,858,12/21/2018,4/30/2021
71,Steel,Polygonaceae,704,1/24/2019,4/16/2022
72,Plastic,Malvaceae,482,10/9/2018,9/28/2020
