Purchase_Order,Vendor,geo_lat,geo_long,Materials,Quantity,Price,Delivery_Date
1,"Larson, Lind and Dare",34.2565473,135.4765527,Glass,903,619,2/1/2021
2,"Bernier, Keeling and Hirthe",34.0661547,134.1688885,Vinyl,239,2391,10/16/2021
3,"Mitchell, Kovacek and Sipes",41.217649,123.1966721,Granite,891,221,7/17/2022
4,Wiegand-Hamill,27.330904,117.044081,Stone,696,2814,10/28/2022
5,"Strosin, Cole and Gislason",-9.975524,123.867401,Granite,582,1595,9/25/2022
6,Rogahn-Kovacek,45.0636892,42.0043376,Wood,315,1179,6/15/2020
7,Marks-Dickens,49.5477597,5.8532859,Plastic,470,1991,10/25/2021
8,Schaefer and Sons,52.0016128,42.344717,Steel,272,299,6/17/2020
9,Lind Inc,38.9083752,-9.050741,Glass,746,3691,7/10/2021
10,Quitzon-Reynolds,39.2166313,77.6012162,Aluminum,603,180,12/20/2022
11,Reinger Group,39.806392,116.4442469,Granite,787,2943,11/21/2020
12,Brakus-Thompson,32.353463,35.074453,Rubber,179,572,10/5/2020
13,Nienow-Tromp,-29.6247579,-50.8316868,Stone,839,2125,5/31/2021
14,Turner-Weissnat,1.003696,-77.7565925,Brass,446,2233,11/17/2021
15,Gulgowski-Trantow,27.648891,118.698821,Stone,929,2594,9/1/2020
16,"Schoen, Collins and Altenwerth",50.3674128,13.5400012,Plastic,149,161,2/25/2023
17,Littel Group,-6.1078857,106.7791791,Granite,535,738,2/21/2023
18,Prosacco-Tillman,48.8242268,16.0657342,Vinyl,581,2097,6/13/2022
19,"Maggio, Quitzon and Green",-27.1009343,-52.615699,Aluminum,387,719,12/9/2022
20,"Macejkovic, Schuster and Mills",11.7367959,41.0822359,Glass,861,359,11/4/2020
21,"Kling, Terry and Zboncak",31.8127435,-9.3381766,Granite,609,1721,10/10/2021
22,Ryan Group,37.1766607,42.1355904,Steel,368,834,9/1/2022
23,Crist Inc,8.0275138,79.8367828,Brass,48,3230,10/29/2020
24,Considine-O'Reilly,29.638995,112.430275,Stone,829,2904,4/25/2022
25,Heller LLC,44.6734042,40.3074973,Wood,601,1092,3/12/2021
26,Raynor-Baumbach,-3.0114,133.7626,Plexiglass,854,2826,6/5/2020
27,"Waelchi, Braun and Mueller",36.689919,118.4807442,Rubber,828,4000,9/20/2022
28,Brakus-Sanford,54.4185233,32.4242426,Plexiglass,462,1168,4/8/2022
29,Homenick-Flatley,33.6435199,42.8253662,Steel,609,2031,11/13/2020
30,"Schaden, Daugherty and Legros",46.8700877,43.0650548,Brass,511,3994,8/14/2020
31,Wolf-Fadel,54.0473494,61.7492324,Aluminum,104,3565,8/30/2021
32,Feeney Group,40.4187499,20.5535753,Plexiglass,270,1899,6/10/2022
33,O'Kon Group,-8.4963229,123.3766669,Vinyl,799,547,2/11/2021
34,Gutmann Inc,18.509402,-69.8631607,Rubber,89,142,3/3/2023
35,Lakin Group,59.8537227,17.6472644,Stone,922,2951,10/30/2020
36,"Auer, Harvey and Reichel",49.2165148,-122.6562872,Aluminum,841,1736,12/23/2022
37,Kunde-Abshire,10.108752,123.2710674,Plexiglass,728,3736,12/12/2020
38,Gulgowski and Sons,-6.81146,106.92569,Stone,126,2896,6/17/2022
39,Murray-Windler,46.592721,131.164723,Rubber,659,2284,12/26/2020
40,"Collins, Sporer and Parisian",29.183761,96.85942,Aluminum,803,2978,4/10/2022
41,"McGlynn, Stehr and Wisozk",32.3630585,-90.1475822,Stone,871,3233,2/28/2022
42,Will-Barrows,-28.4866323,-59.3540025,Plexiglass,726,1394,12/18/2021
43,Becker Inc,30.664436,108.326536,Wood,955,645,9/9/2020
44,Rowe Inc,19.2818854,-98.4410429,Glass,826,3256,6/10/2020
45,McClure Group,52.675914,-113.5832367,Glass,67,2522,7/29/2022
46,"Koch, Stoltenberg and Steuber",14.6688068,121.1138058,Plastic,354,3408,11/28/2020
47,Simonis-Stroman,41.6865621,-8.7534535,Plastic,810,1574,9/28/2022
